"filename", "language", "Python", "comment", "blank", "total"
"d:\WORKWORK\DND\dnd-game-backend\app.py", "Python", 14, 0, 7, 21
"d:\WORKWORK\DND\dnd-game-backend\db.py", "Python", 2, 0, 0, 2
"d:\WORKWORK\DND\dnd-game-backend\db_actions\characters.py", "Python", 151, 2, 32, 185
"d:\WORKWORK\DND\dnd-game-backend\db_actions\user.py", "Python", 32, 0, 14, 46
"d:\WORKWORK\DND\dnd-game-backend\db_actions\weapons.py", "Python", 26, 2, 10, 38
"d:\WORKWORK\DND\dnd-game-backend\endpoints\characters.py", "Python", 25, 3, 6, 34
"d:\WORKWORK\DND\dnd-game-backend\endpoints\user.py", "Python", 25, 0, 6, 31
"d:\WORKWORK\DND\dnd-game-backend\endpoints\weapon.py", "Python", 21, 0, 6, 27
"d:\WORKWORK\DND\dnd-game-backend\engine_db.py", "Python", 4, 27, 12, 43
"d:\WORKWORK\DND\dnd-game-backend\enums\weapon_spell.py", "Python", 24, 0, 4, 28
"d:\WORKWORK\DND\dnd-game-backend\model\model.py", "Python", 105, 0, 29, 134
"d:\WORKWORK\DND\dnd-game-backend\schemas\characters.py", "Python", 67, 1, 12, 80
"d:\WORKWORK\DND\dnd-game-backend\schemas\weapon.py", "Python", 9, 0, 3, 12
"d:\WORKWORK\DND\dnd-game-backend\scr\core.py", "Python", 11, 2, 7, 20
"d:\WORKWORK\DND\dnd-game-backend\test.py", "Python", 3, 0, 4, 7
"Total", "-", 519, 37, 152, 708